name,description,price,image_150_key,image_500_key,image_1200_key
Ceramic Coffee Mug,Durable 350ml microwave and dishwasher safe ceramic mug for daily tea and coffee,12.99,products/1/thumb.webp,products/1/medium.webp,products/1/large.webp
Stainless Steel Water Bottle,Double-wall vacuum insulated 750ml flask keeping drinks cold for 24 hours,19.99,products/2/thumb.webp,products/2/medium.webp,products/2/large.webp
Organic Cotton Bath Towel,Ultra-soft and quick-drying 600 GSM combed cotton bath towel,15.49,products/3/thumb.webp,products/3/medium.webp,products/3/large.webp
Non-Stick Frying Pan,10-inch scratch-resistant aluminum skillet with ergonomic heat-proof handle,27.99,products/4/thumb.webp,products/4/medium.webp,products/4/large.webp
Chef's Kitchen Knife,8-inch high-carbon stainless steel multipurpose kitchen cutting knife,24.5,products/5/thumb.webp,products/5/medium.webp,products/5/large.webp
Bamboo Cutting Board,Eco-friendly organic bamboo chopping block with juice grooves,18,products/6/thumb.webp,products/6/medium.webp,products/6/large.webp
Microfiber Cleaning Cloths,Pack of 6 lint-free reusable dusting and cleaning towels,9.99,products/7/thumb.webp,products/7/medium.webp,products/7/large.webp
Liquid Hand Soap Refill,Lavender scented moisturising aloe vera liquid hand wash 1 liter,8.5,products/8/thumb.webp,products/8/medium.webp,products/8/large.webp
Cotton Bed Sheet Set,Breathable 400 thread count queen size fitted bedsheet with 2 pillowcases,39.99,products/9/thumb.webp,products/9/medium.webp,products/9/large.webp
Memory Foam Pillow,Ergonomic cervical neck support contour pillow for side and back sleepers,29.99,products/10/thumb.webp,products/10/medium.webp,products/10/large.webp
Glass Food Storage Containers,Set of 4 leak-proof airtight borosilicate glass meal prep containers,22.99,products/11/thumb.webp,products/11/medium.webp,products/11/large.webp
Silicone Cooking Spatula Set,Heat resistant non-stick kitchen utensil set with wooden handles,14.99,products/12/thumb.webp,products/12/medium.webp,products/12/large.webp
Electric Kettle,1.7L fast-boiling stainless steel cordless tea and water kettle,25,products/13/thumb.webp,products/13/medium.webp,products/13/large.webp
2-Slice Bread Toaster,Compact automatic pop-up toaster with 6 variable browning controls,21.5,products/14/thumb.webp,products/14/medium.webp,products/14/large.webp
Handheld Garment Steamer,Portable 1000W fast heat-up wrinkle remover for clothes and travel,34.99,products/15/thumb.webp,products/15/medium.webp,products/15/large.webp
Cordless Electric Toothbrush,Rechargeable sonic power toothbrush with timer and 3 brush heads,28.99,products/16/thumb.webp,products/16/medium.webp,products/16/large.webp
Charcoal Face Wash,Deep pore cleansing natural activated charcoal daily facial cleanser,11.5,products/17/thumb.webp,products/17/medium.webp,products/17/large.webp
Hydrating Body Lotion,Non-greasy daily moisturizer with shea butter and vitamin E 400ml,13.99,products/18/thumb.webp,products/18/medium.webp,products/18/large.webp
Natural Shampoo Bar,Zero-waste sulfate-free scalp nourishing argan oil solid shampoo,9.5,products/19/thumb.webp,products/19/medium.webp,products/19/large.webp
Wooden Hangers Pack,Pack of 20 smooth natural solid wood suit and coat clothes hangers,24.99,products/20/thumb.webp,products/20/medium.webp,products/20/large.webp
Desk LED Lamp,Dimmable eye-caring reading table light with flexible neck and touch control,18.99,products/21/thumb.webp,products/21/medium.webp,products/21/large.webp
Braided USB-C Cable,6ft heavy-duty fast-charging braided nylon Type-C sync cable,10.99,products/22/thumb.webp,products/22/medium.webp,products/22/large.webp
Wireless Optical Mouse,2.4GHz quiet-click ergonomic portable computer mouse for laptop/PC,16.5,products/23/thumb.webp,products/23/medium.webp,products/23/large.webp
Non-Slip Mouse Pad,Water-resistant rubber base smooth tracking surface mouse mat,7.99,products/24/thumb.webp,products/24/medium.webp,products/24/large.webp
Stainless Steel Cutlery Set,"24-piece dinner fork, knife, and spoon silverware set for 6",32,products/25/thumb.webp,products/25/medium.webp,products/25/large.webp
